item_id,p_value,discrimination
generated_mcqs_hard.json_0,0.4,0.5110708501171662
generated_mcqs_hard.json_1,0.42,0.4452622852161891
generated_mcqs_hard.json_10,0.54,0.41704674275951786
generated_mcqs_hard.json_11,0.58,0.28936635485914897
generated_mcqs_hard.json_12,0.48,0.34774657016432403
generated_mcqs_hard.json_13,0.56,0.3186267892993609
generated_mcqs_hard.json_14,0.48,0.1338427045096432
generated_mcqs_hard.json_15,0.56,0.18022712213265007
generated_mcqs_hard.json_16,0.46,0.4176593710999651
generated_mcqs_hard.json_17,0.6,0.42381485131667435
generated_mcqs_hard.json_18,0.46,0.24918657747695028
generated_mcqs_hard.json_19,0.42,0.48392695048331213
generated_mcqs_hard.json_2,0.56,0.45702645646607165
generated_mcqs_hard.json_20,0.58,0.38216155150024433
generated_mcqs_hard.json_21,0.46,0.3640543913108242
generated_mcqs_hard.json_22,0.52,0.25576790793281134
generated_mcqs_hard.json_23,0.4,0.3474658523662441
generated_mcqs_hard.json_24,0.5,0.3320489757688432
generated_mcqs_hard.json_25,0.5,0.27098249746652714
generated_mcqs_hard.json_26,0.58,0.4285591498207919
generated_mcqs_hard.json_27,0.54,0.2638896576476861
generated_mcqs_hard.json_28,0.56,0.3263156596975115
generated_mcqs_hard.json_29,0.44,0.37337154653419313
generated_mcqs_hard.json_3,0.46,0.24152872322135877
generated_mcqs_hard.json_4,0.44,0.21959413857118115
generated_mcqs_hard.json_5,0.52,0.33980156944000733
generated_mcqs_hard.json_6,0.44,0.45794912091384976
generated_mcqs_hard.json_7,0.58,0.3357639531796966
generated_mcqs_hard.json_8,0.52,0.47731119736087363
generated_mcqs_hard.json_9,0.46,0.4712643508891063
