id,subject,topic_id,stem,optionA,optionB,optionC,optionD,answer,solution_rationale,citations,qa_status
1,Physics,PHYS_MF_01,"A box moves with constant velocity along a road. What is its acceleration?","Zero","Constant nonzero","Increasing","Decreasing","A","Constant velocity ⇒ acceleration = 0 (Newton's first law).","PHYS_MF_01",PASS
2,Physics,PHYS_MF_01,"Two forces act on a stationary box: gravity downward and normal upward equal in magnitude. What is ΣF?","Zero","Upward","Downward","Cannot tell","A","Equal and opposite forces sum to zero.","PHYS_MF_01",PASS
3,Physics,PHYS_MF_01,"Which statement matches an inertial reference frame?","Frame accelerating with truck's acceleration","A frame at rest or moving at constant velocity","A frame rotating with Earth","A frame that is speeding up","B","Inertial frames are non-accelerating (rest or constant velocity).","PHYS_MF_01",PASS
4,Physics,PHYS_MF_02,"If upward applied force F_a > weight F_g on a box, what is the direction of acceleration?","Upward","Downward","Zero","Horizontal","A","Net force upward → acceleration upward (F=ma).","PHYS_MF_02",PASS
5,Physics,PHYS_MF_02,"Which formula correctly gives acceleration (vector) for a system?","a = ΣF / m","a = m / ΣF","ΣF = m / a","a = ΣF · m","A","Newton's second law: a = ΣF / m (vector equation).","PHYS_MF_02",PASS
6,Physics,PHYS_MF_02,"A box being caught while falling has velocity downward and net force upward. What happens to its speed?","Speed decreases","Speed increases","Speed unchanged","Speed reverses immediately","A","Acceleration upward opposite velocity → speed decreases.","PHYS_MF_02",PASS
7,Physics,PHYS_MF_03,"Which equation applies independently for axes in 2D dynamics?","ΣF_x = m a_x and ΣF_y = m a_y","ΣF = m (a_x + a_y)","ΣF_x = ΣF_y","a_x = a_y","A","Separate components per axis: ΣF_x = m a_x, ΣF_y = m a_y.","PHYS_MF_03",PASS
8,Physics,PHYS_MF_03,"If friction acts opposite motion along x, and applied force acts right, net horizontal force is:","F_applied - F_friction","F_applied + F_friction","F_friction - F_applied","Zero","A","Friction opposes motion; net = applied minus friction (with signs).","PHYS_MF_03",PASS
9,Physics,PHYS_MF_04,"What is the magnitude of gravitational force near Earth's surface?","Fg = m g","Fg = m / g","Fg = g / m","Fg = m + g","A","From Newton's second law and free fall: Fg = mg.","PHYS_MF_04",PASS
10,Physics,PHYS_MF_04,"A 2 kg box in free fall near Earth experiences magnitude of gravitational force equal to:","19.6 N","9.8 N","2 N","4.9 N","A","Fg = m g = 2 kg × 9.8 m/s^2 = 19.6 N.","PHYS_MF_04",PASS
11,Physics,PHYS_EN_01,"What is the kinetic energy of a 3 kg mass moving at 4 m/s?","24 J","48 J","12 J","6 J","A","K = 1/2 m v^2 = 0.5×3×16 = 24 J.","PHYS_EN_01",PASS
12,Physics,PHYS_EN_01,"Kinetic energy depends on which of the following?","Speed only","Velocity (vector) only","Mass only","Force only","A","KE formula uses speed (scalar) and mass: K=1/2 mv^2.","PHYS_EN_01",PASS
13,Physics,PHYS_EN_02,"Work done by a force F acting through displacement d at angle θ is:","W = F d cosθ","W = F d sinθ","W = F/d cosθ","W = F + d cosθ","A","Definition: W = F d cosθ.","PHYS_EN_02",PASS
14,Physics,PHYS_EN_02,"If a force is perpendicular to displacement what is the work done?","Zero","Positive","Negative","Undefined","A","cos(90°)=0 → W = 0.","PHYS_EN_02",PASS
15,Physics,PHYS_EN_02,"Power is best described as:","Rate of doing work","Work times time","Force times displacement","Energy per mass","A","Power = dW/dt (rate of doing work).","PHYS_EN_02",PASS
16,Physics,PHYS_EN_03,"Work–kinetic energy theorem states:","ΣW_i = ΔK","ΣF = 0","K = m v","W = F d sinθ","A","Net work equals change in kinetic energy.","PHYS_EN_03",PASS
17,Physics,PHYS_EN_03,"A satellite starts at rest, net work done d(F_n - F_g) across displacement d sets 1/2 m v^2 = d(F_n - F_g). Solving for v gives:","v = sqrt(2d/m (F_n - F_g))","v = 2d/m (F_n - F_g)","v = 2d (F_n + F_g)/m","v = (2d/m)^2 (F_n - F_g)","A","Algebraic rearrangement of 1/2 m v^2 = d(F_n - F_g).","PHYS_EN_03",PASS
18,Physics,PHYS_EN_04,"If a constant force does negative work on an object, what happens to the object's kinetic energy?","It decreases","It increases","It stays same","It becomes negative","A","Net work negative → ΔK negative (kinetic energy decreases).","PHYS_EN_04",PASS
19,Physics,PHYS_EN_04,"To compute work for a variable force you should:","Integrate F·ds","Use W = F_avg d without thinking","Multiply peak force by time","Use vector sum of forces only","A","Variable force requires W = ∫ F·ds.","PHYS_EN_04",PASS
20,Physics,PHYS_EN_04,"Mechanical energy is conserved if:","No nonconservative forces do net work","Friction does positive net work","External power added","Mass changes","A","Conservation holds when nonconservative (dissipative) forces are negligible.","PHYS_EN_04",PASS
21,Physics,PHYS_EC_01,"Coulomb's law magnitude between q1 and q2 at distance r is:","k q1 q2 / r^2","k q1 q2 r^2","k q1 / q2 r^2","k r^2 / q1 q2","A","Coulomb's law: F = k q1 q2 / r^2.","PHYS_EC_01",PASS
22,Physics,PHYS_EC_01,"If q1 doubles and q2 unchanged, electrostatic force becomes:","Twice as large","Half as large","Four times as large","Unchanged","A","F ∝ q1 so doubling q1 doubles force.","PHYS_EC_01",PASS
23,Physics,PHYS_EC_02,"Electric field at a point is defined as:","E = F / q_test","E = q_test / F","E = F q_test","E = F + q_test","A","Field is force per unit test charge: E = F/q.","PHYS_EC_02",PASS
24,Physics,PHYS_EC_02,"A neutral object is attracted to a charged rod due to:","Induced polarization of atoms","Gravity change","Magnetism","Chemical bonding","A","Neutral bodies polarize near a charged object and experience attraction.","PHYS_EC_02",PASS
25,Physics,PHYS_EC_03,"How does increasing the distance r between two equal charges affect F_e?","It decreases by factor 1/r^2","It increases by factor r^2","It decreases linearly (1/r)","It does not change","A","Coulomb's law inverse-square dependence: F ∝ 1/r^2.","PHYS_EC_03",PASS
26,Physics,PHYS_EC_03,"Doubling both q1 and q2 changes the force by what factor?","4","2","1/2","8","A","Force ∝ q1 q2, doubling both multiplies product by 4.","PHYS_EC_03",PASS
27,Physics,PHYS_EC_04,"Superposition principle for electric forces states:","Net force is vector sum of individual forces","Use largest force only","Average the magnitudes","Multiply individual forces","A","Electric forces add vectorially (superposition).","PHYS_EC_04",PASS
28,Physics,PHYS_EC_04,"Units: Coulomb constant k has SI units of:","N·m^2/C^2","C^2/(N·m^2)","N/C","J/C","A","k ≈ 8.99×10^9 N·m^2/C^2 (units so F = k q1 q2 / r^2 gives newtons).","PHYS_EC_04",PASS
29,Physics,PHYS_EC_01,"Two charges of opposite sign are placed near each other. The force between them is:","Attractive","Repulsive","Zero","Depends on mass","A","Opposite charges attract under Coulomb's law.","PHYS_EC_01",PASS
30,Physics,PHYS_EC_04,"A vector electric field and a positive test charge experience force F = q E. If E points right and q is positive, F points:","Right","Left","Up","Down","A","Force on positive charge is in same direction as E.","PHYS_EC_04",PASS
