item_id,topic,correct_option
item_0,10rhetorical_strategy1,B
item_1,12graphics_and_data_analysis1,C
item_2,4supporting_evidence1,B
item_3,7extended_reasoning_and_analogies1,A
item_4,and_determinants1,C
item_5,mcqs,C
item_6,and_series1,B
item_7,of_polynomials1,A
item_8,and_combination1,B
item_9,functions1,B
item_10,mcqs,A
item_11,mcqs,A
item_12,mcqs,B
item_13,physics1,B
item_14,quantities_and_measurements1,B
item_15,mcqs,C
item_16,motion1,A
item_17,and_circular_motion1,C
item_18,and_kinetic_energy1,B
item_19,and_thermodynamics1,B
item_20,mcqs,A
item_21,harmonic_motion1,C
item_22,and_interference1,B
item_23,current1,A
item_24,physics1,B
item_25,physics1,A
item_26,mcqs,B
item_27,s_climate1,C
item_28,imaging1,A
item_29,of_science_a_debate1,B
