item_id,topic,p_value,point_biserial,n_responses,n_pairs_used,comments
item_0,10rhetorical_strategy1,0.56,0.5583168402176628,50,50,
item_1,12graphics_and_data_analysis1,0.8125,0.48310711560455294,32,32,
item_10,mcqs,0.6296296296296297,0.6763999155437461,27,27,
item_11,mcqs,0.3888888888888889,0.5164213932666323,18,18,
item_12,mcqs,0.35714285714285715,0.13763941414122374,14,14,Low Discrimination (<0.2)
item_13,physics1,0.4375,0.7020416286992835,16,16,
item_14,quantities_and_measurements1,0.4117647058823529,0.05962071581309061,17,17,Low Discrimination (<0.2)
item_15,mcqs,0.13333333333333333,0.5381681575321503,15,15,Too Hard (<0.2)
item_16,motion1,0.7714285714285715,0.4542952230623861,35,35,
item_17,and_circular_motion1,0.6842105263157895,0.6895231871958843,38,38,
item_18,and_kinetic_energy1,0.14285714285714285,0.407463045862167,14,14,Too Hard (<0.2)
item_19,and_thermodynamics1,0.44,0.29571616788409133,50,50,
item_2,4supporting_evidence1,0.5,0.6123277843416697,50,50,
item_20,mcqs,0.1875,0.6610346987225666,16,16,Too Hard (<0.2)
item_21,harmonic_motion1,0.48,0.5720941755508383,50,50,
item_22,and_interference1,0.6666666666666666,0.5121033554886308,36,36,
item_23,current1,0.5588235294117647,0.2908642685051104,34,34,
item_24,physics1,0.47368421052631576,0.6460180162616089,19,19,
item_25,physics1,0.5217391304347826,0.48105580571038126,23,23,
item_26,mcqs,0.6206896551724138,0.522104713530959,29,29,
item_27,s_climate1,0.625,0.4656538087801665,40,40,
item_28,imaging1,0.56,0.2954140453380806,50,50,
item_29,of_science_a_debate1,0.6190476190476191,0.6901912069913831,42,42,
item_3,7extended_reasoning_and_analogies1,0.7419354838709677,0.6321396996197433,31,31,
item_4,and_determinants1,0.48,0.36300624709024004,50,50,
item_5,mcqs,0.25,0.8559209850218259,12,12,
item_6,and_series1,0.4,0.18595968021619377,50,50,Low Discrimination (<0.2)
item_7,of_polynomials1,0.627906976744186,0.7453435906401672,43,43,
item_8,and_combination1,0.46,0.18325593928117398,50,50,Low Discrimination (<0.2)
item_9,functions1,0.673469387755102,0.5864906639459824,49,49,
