student_id,item_id,selected_option
student_1,item_28,D
student_1,item_8,D
student_1,item_19,B
student_1,item_4,C
student_1,item_2,B
student_1,item_26,B
student_1,item_0,C
student_1,item_6,A
student_1,item_21,B
student_1,item_29,A
student_1,item_27,C
student_1,item_10,A
student_1,item_13,C
student_1,item_25,C
student_1,item_22,B
student_1,item_23,C
student_1,item_3,A
student_1,item_16,A
student_1,item_1,C
student_1,item_9,B
student_2,item_28,A
student_2,item_8,B
student_2,item_19,A
student_2,item_4,A
student_2,item_2,A
student_2,item_26,C
student_2,item_0,A
student_2,item_6,B
student_2,item_21,D
student_2,item_29,C
student_2,item_14,B
student_2,item_27,C
student_2,item_16,C
student_2,item_23,C
student_2,item_9,B
student_2,item_22,C
student_2,item_7,A
student_2,item_25,C
student_2,item_17,A
student_2,item_11,C
student_3,item_28,D
student_3,item_8,B
student_3,item_19,C
student_3,item_4,A
student_3,item_2,A
student_3,item_26,C
student_3,item_14,D
student_3,item_18,D
student_3,item_24,D
student_3,item_15,D
student_3,item_7,D
student_3,item_17,D
student_3,item_9,A
student_3,item_12,D
student_3,item_5,B
student_3,item_20,B
student_3,item_11,D
student_3,item_0,D
student_3,item_6,B
student_3,item_21,B
student_4,item_28,C
student_4,item_8,C
student_4,item_19,D
student_4,item_4,B
student_4,item_9,C
student_4,item_17,B
student_4,item_7,C
student_4,item_11,A
student_4,item_14,D
student_4,item_24,A
student_4,item_12,C
student_4,item_15,B
student_4,item_20,B
student_4,item_18,A
student_4,item_5,B
student_4,item_2,D
student_4,item_0,B
student_4,item_6,D
student_4,item_21,A
student_4,item_29,C
student_5,item_28,A
student_5,item_8,D
student_5,item_19,D
student_5,item_4,D
student_5,item_2,A
student_5,item_26,D
student_5,item_11,D
student_5,item_14,B
student_5,item_7,B
student_5,item_12,C
student_5,item_24,C
student_5,item_5,D
student_5,item_20,D
student_5,item_15,B
student_5,item_9,C
student_5,item_17,B
student_5,item_18,A
student_5,item_0,C
student_5,item_6,A
student_5,item_21,A
student_6,item_28,B
student_6,item_8,C
student_6,item_19,A
student_6,item_4,C
student_6,item_2,C
student_6,item_10,A
student_6,item_0,C
student_6,item_6,B
student_6,item_21,D
student_6,item_29,D
student_6,item_15,A
student_6,item_11,A
student_6,item_24,B
student_6,item_27,C
student_6,item_16,B
student_6,item_3,D
student_6,item_9,A
student_6,item_20,C
student_6,item_18,D
student_6,item_7,B
student_7,item_28,A
student_7,item_8,A
student_7,item_19,C
student_7,item_4,D
student_7,item_2,C
student_7,item_10,D
student_7,item_20,D
student_7,item_15,B
student_7,item_24,C
student_7,item_14,A
student_7,item_11,D
student_7,item_18,D
student_7,item_17,C
student_7,item_12,B
student_7,item_5,A
student_7,item_9,C
student_7,item_7,B
student_7,item_0,D
student_7,item_6,A
student_7,item_21,D
student_8,item_28,B
student_8,item_8,B
student_8,item_19,C
student_8,item_4,B
student_8,item_2,B
student_8,item_10,A
student_8,item_0,B
student_8,item_6,D
student_8,item_21,D
student_8,item_29,B
student_8,item_27,C
student_8,item_3,A
student_8,item_16,A
student_8,item_25,A
student_8,item_9,B
student_8,item_22,B
student_8,item_7,A
student_8,item_23,A
student_8,item_17,C
student_8,item_1,C
student_9,item_28,A
student_9,item_8,B
student_9,item_19,A
student_9,item_4,C
student_9,item_2,B
student_9,item_26,B
student_9,item_0,B
student_9,item_6,A
student_9,item_21,C
student_9,item_29,B
student_9,item_27,C
student_9,item_9,B
student_9,item_22,B
student_9,item_7,A
student_9,item_23,B
student_9,item_13,B
student_9,item_17,C
student_9,item_3,A
student_9,item_1,C
student_9,item_16,A
student_10,item_28,C
student_10,item_8,A
student_10,item_19,B
student_10,item_4,C
